"layer","cellID","Region","RegionID","District","DistrictID","Ward","WardID","Village","VillageID","VillCens","VillIDCens","PA","Urban"
1,31928,"Lindi",2,"Nachingwea",2,"Mkoka",324,"Mkoka",73,"Mkoka",1372,0,0
1,31929,"Lindi",2,"Nachingwea",2,"Mkoka",324,"Mkoka",73,"Mkoka",1372,0,0
1,31930,"Lindi",2,"Ruangwa",24,"Makanjiro",366,"Chilangalile",2254,"Chilangalile",2845,0,0
1,31931,"Lindi",2,"Ruangwa",24,"Makanjiro",366,"Chilangalile",2254,"Chilangalile",2845,0,0
1,31932,"Lindi",2,"Ruangwa",24,"Likunja",367,"Mmawa",2528,"Mmawa",442,0,0
1,31933,"Lindi",2,"Ruangwa",24,"Likunja",367,"Likunja",713,"Likunja",2321,0,0
1,31934,"Lindi",2,"Ruangwa",24,"Likunja",367,"Likunja",713,"Likunja",2321,0,0
1,31935,"Lindi",2,"Ruangwa",24,"Likunja",367,"Mitope",2415,"Mitope",1424,0,0
1,31936,"Lindi",2,"Ruangwa",24,"Mandarawe",372,"Mandarawe",494,"Mandarawe",1681,0,0
1,31937,"Lindi",2,"Ruangwa",24,"Nkowe",360,"Kipindimbi",2184,"Kipindimbi",1747,0,0
1,31938,"Lindi",2,"Ruangwa",24,"Nkowe",360,"Kipindimbi",2184,"Kipindimbi",1747,0,0
1,31939,"Lindi",2,"Ruangwa",24,"Nkowe",360,"Kipindimbi",2184,"Kipindimbi",1747,0,0
1,31940,"Lindi",2,"Lindi Rural",22,"Namupa",294,"Mihima",950,"Mihima",2295,0,0
1,31941,"Lindi",2,"Lindi Rural",22,"Namupa",294,"Mihima",950,"Mihima",2295,0,0
1,31942,"Lindi",2,"Lindi Rural",22,"Namupa",294,"Mihima",950,"Mihima",2295,0,0
1,31943,"Lindi",2,"Lindi Rural",22,"Namupa",294,"Mihima",950,"Mihima",2295,0,0
1,31944,"Lindi",2,"Lindi Rural",22,"Namupa",294,"Mihima",950,"Mihima",2295,0,0
1,31945,"Lindi",2,"Lindi Rural",22,"Namupa",294,"Mihima",950,"Mihima",2295,0,0
1,31946,"Lindi",2,"Lindi Rural",22,"Mnara",300,"Liganga",941,"Liganga",972,0,0
1,31947,"Lindi",2,"Lindi Rural",22,"Mnara",300,"Liganga",941,"Liganga",972,0,0
1,31948,"Lindi",2,"Lindi Rural",22,"Mnara",300,"Liganga",941,"Liganga",972,0,0
1,31949,"Lindi",2,"Lindi Rural",22,"Mnara",300,"Liganga",941,"Liganga",972,0,0
1,31950,"Lindi",2,"Lindi Rural",22,"Mnara",300,"Ntene",1066,"Ntene",382,0,0
1,31951,"Lindi",2,"Lindi Rural",22,"Mnara",300,"Ntene",1066,"Ntene",382,0,0
1,31952,"Lindi",2,"Lindi Rural",22,"Mnara",300,"Ntene",1066,"Ntene",382,0,0
1,31953,"Lindi",2,"Lindi Rural",22,"Mnara",300,"Mnara",2150,"Mnara",1103,0,0
1,31954,"Lindi",2,"Lindi Rural",22,"Mnara",300,"Mnara",2150,"Mnara",1103,0,0
1,31955,"Lindi",2,"Lindi Rural",22,"Mnara",300,"Mnara",2150,"Mnara",1103,0,0
1,31956,"Lindi",2,"Lindi Rural",22,"Mnara",300,"Chikombe",867,"Chikombe",2095,0,0
1,31957,"Lindi",2,"Lindi Rural",22,"Chiponda",301,"Chiodya B",358,"Chiodya B",622,0,0
1,31958,"Lindi",2,"Lindi Rural",22,"Chiponda",301,"Chiodya B",358,"Chiodya B",622,0,0
1,31959,"Lindi",2,"Lindi Rural",22,"Chiponda",301,"Chiodya B",358,"Chiodya B",622,0,0
1,31960,"Lindi",2,"Lindi Rural",22,"Chiponda",301,"Chiodya B",358,"Chiodya B",622,0,0
1,31961,"Lindi",2,"Lindi Rural",22,"Chiponda",301,"Chiodya B",358,"Chiodya B",622,0,0
1,31962,"Lindi",2,"Lindi Rural",22,"Chiponda",301,"Chiodya B",358,"Chiodya B",622,0,0
1,31963,"Lindi",2,"Lindi Rural",22,"Chiponda",301,"Namihanga",2567,"Namihanga",2442,0,0
1,31964,"Lindi",2,"Lindi Rural",22,"Chiponda",301,"Namihanga",2567,"Namihanga",2442,0,0
1,31965,"Lindi",2,"Lindi Rural",22,"Longa",303,"Narwadi",2615,"Narwadi",2411,0,0
